number,google_code,종목코드,company_name,업종,업종,상장주식수(주),자본금(백만원),액면가(원),통화구분,대표전화,주소
1,KRX:095570,95570,AJ네트웍스,126903,산업용 기계 및 장비 임대업,9364459,46822295000,5000,원(KRW),02-6240-0800,"서울특별시 구로구 디지털로26길 5, 9층"
2,KRX:068400,68400,AJ렌터카,126901,운송장비 임대업,22146300,11073150000,500,원(KRW),1544-1600,서울특별시 구로구 서부샛길 822
3,KRX:006840,6840,AK홀딩스,137105,"회사본부, 지주회사 및 경영컨설팅 서비스업",13247561,66237805000,5000,원(KRW),02-6923-2921,서울특별시 구로구 구로중앙로 152(구로동)
4,KRX:027410,27410,BGF리테일,74701,종합 소매업,24773964,24773964000,1000,,1577-3663,서울특별시 강남구 테헤란로 405
5,KRX:138930,138930,BNK금융지주,116409,기타 금융업,255935246,1279676230000,5000,원(KRW),051-620-3022,부산광역시 남구 문현금융로 30(문현동)
6,KRX:001460,1460,BYC,31401,봉제의복 제조업,624615,4200000000,5000,원(KRW),02-840-3175,서울특별시 영등포구 도림천로21길 3
7,KRX:001040,1040,CJ,137105,"회사본부, 지주회사 및 경영컨설팅 서비스업",29128248,157671060000,5000,원(KRW),02-726-8114,서울특별시 중구 소월로2길 12 (남대문로5가)
8,KRX:079160,79160,CJ CGV,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업",21161313,10580656500,500,원(KRW),02-371-6660,서울시 마포구 월드컵북로 434 10층(상암동)
9,KRX:000120,120,CJ대한통운,84903,도로 화물 운송업,22812344,114061720000,5000,원(KRW),02-3782-0114,서울특별시 중구 세종대로9길 53
10,KRX:011150,11150,CJ씨푸드,31007,기타 식품 제조업,35930773,18065386500,500,원(KRW),031-730-9114,경기도 성남시 중원구 둔촌대로388번길 32 (상대원동)
11,KRX:097950,97950,CJ제일제당,31007,기타 식품 제조업,13158198,72428155000,5000,원(KRW),726-8114,서울특별시 중구 동호로 330
